gl_date;Abr;Parent Account for Nature View;Currency;actual_amount
24/04/2020;Apr;093 - FixedAssets;EUR;-35 063,27
24/04/2020;Apr;106 - AccumDepreciation;EUR;35 063,27
janv-20;Jan;164 - AP;XAF;282,03
janv-20;Jan;164 - AP;XAF;982,11
janv-20;Jan;164 - AP;XAF;128,44
438;Jan;164 - AP;XAF;497,79
janv-20;Jan;164 - AP;XAF;5 232,19
06/01/2020;Jan;012 - ReceivTradeBill;USD;-1 128,91
06/01/2020;Jan;012 - ReceivTradeBill;USD;-3 604,58
06/01/2020;Jan;012 - ReceivTradeBill;USD;-199,22
06/01/2020;Jan;012 - ReceivTradeBill;USD;-650,04
06/01/2020;Jan;012 - ReceivTradeBill;USD;-78,9
06/01/2020;Jan;012 - ReceivTradeBill;XAF;-1 372,37
06/01/2020;Jan;012 - ReceivTradeBill;XAF;-242,17
09/01/2020;Jan;012 - ReceivTradeBill;XAF;-1 985,15
09/01/2020;Jan;012 - ReceivTradeBill;XAF;-350,31
29/01/2020;Jan;012 - ReceivTradeBill;XAF;-740,22
29/01/2020;Jan;012 - ReceivTradeBill;XAF;-130,62
30/01/2020;Jan;012 - ReceivTradeBill;XAF;-738,2
30/01/2020;Jan;012 - ReceivTradeBill;XAF;-130,27
30/01/2020;Jan;012 - ReceivTradeBill;USD;-0,9
31/01/2020;Jan;012 - ReceivTradeBill;USD;-5 113,11
31/01/2020;Jan;012 - ReceivTradeBill;USD;-1 430,23
12/02/2020;Feb;012 - ReceivTradeBill;USD;-24 089,25
14/02/2020;Feb;012 - ReceivTradeBill;USD;-1 313,43
14/02/2020;Feb;012 - ReceivTradeBill;USD;-30,27
17/02/2020;Feb;012 - ReceivTradeBill;USD;-1 237,06
17/02/2020;Feb;012 - ReceivTradeBill;USD;-224,06
24/02/2020;Feb;012 - ReceivTradeBill;USD;-5 089,62
24/02/2020;Feb;012 - ReceivTradeBill;USD;-898,17
26/02/2020;Feb;012 - ReceivTradeBill;XAF;-4 403,24
26/02/2020;Feb;012 - ReceivTradeBill;XAF;-777,05
28/02/2020;Feb;012 - ReceivTradeBill;USD;-8 138,20
28/02/2020;Feb;012 - ReceivTradeBill;USD;-46 116,66
28/02/2020;Feb;026 - TotICRecPay;USD;-1 587,60
10/03/2020;Mar;012 - ReceivTradeBill;USD;-13 559,43
10/03/2020;Mar;012 - ReceivTradeBill;USD;-26,88
12/03/2020;Mar;012 - ReceivTradeBill;USD;-27 441,60
12/03/2020;Mar;012 - ReceivTradeBill;USD;-4 996,39
24/03/2020;Mar;012 - ReceivTradeBill;XAF;-291,06
24/03/2020;Mar;012 - ReceivTradeBill;XAF;-51,36
25/03/2020;Mar;012 - ReceivTradeBill;USD;-669,27
25/03/2020;Mar;012 - ReceivTradeBill;USD;-137,38
27/03/2020;Mar;012 - ReceivTradeBill;XAF;-141,86
